usgs_no,year_nu,month_nu,discharge_cufs,site
1674500,2008,6,381.5,mattaponi
1674500,2008,7,116.1,mattaponi
1674500,2008,8,33.8,mattaponi
1674500,2008,9,142.2,mattaponi
1674500,2008,10,71.2,mattaponi
1674500,2008,11,154.7,mattaponi
1674500,2008,12,540.2,mattaponi
1674500,2009,1,385.2,mattaponi
1674500,2009,2,222.7,mattaponi
1674500,2009,3,372,mattaponi
1674500,2009,4,470.9,mattaponi
1674500,2009,5,525.9,mattaponi
1674500,2009,6,895.5,mattaponi
1674500,2009,7,82.2,mattaponi
1674500,2009,8,86.8,mattaponi
1674500,2009,9,44.9,mattaponi
1674500,2009,10,111.2,mattaponi
1674500,2009,11,1135,mattaponi
1674500,2009,12,2075,mattaponi
1674500,2010,1,1339,mattaponi
1674500,2010,2,1504,mattaponi
1674500,2010,3,1608,mattaponi
1674500,2010,4,1100,mattaponi
1674500,2010,5,328.1,mattaponi
1674500,2010,6,135.3,mattaponi
1674500,2010,7,34.5,mattaponi
1674500,2010,8,74.9,mattaponi
1674500,2010,9,20.3,mattaponi
1674500,2010,10,245.8,mattaponi
1674500,2010,11,214.5,mattaponi
1674500,2010,12,268.1,mattaponi
1674500,2011,1,247.5,mattaponi
1674500,2011,2,310.1,mattaponi
1674500,2011,3,912.3,mattaponi
1674500,2011,4,514,mattaponi
1674500,2011,5,566.5,mattaponi
1674500,2011,6,204.9,mattaponi
1674500,2011,7,125.6,mattaponi
1674500,2011,8,329,mattaponi
1674500,2011,9,1591,mattaponi
1674500,2011,10,573.6,mattaponi
1674500,2011,11,707,mattaponi
1674500,2011,12,1281,mattaponi
1674500,2012,1,740.7,mattaponi
1674500,2012,2,660.4,mattaponi
1674500,2012,3,934.4,mattaponi
1674500,2012,4,413.1,mattaponi
1674500,2012,5,475.5,mattaponi
1674500,2012,6,205.1,mattaponi
1674500,2012,7,42.4,mattaponi
1674500,2012,8,49.6,mattaponi
1674500,2012,9,64.1,mattaponi
1674500,2012,10,75.6,mattaponi
1674500,2012,11,171.9,mattaponi
1674500,2012,12,233.2,mattaponi
1674500,2013,1,487.3,mattaponi
1674500,2013,2,427.4,mattaponi
1674500,2013,3,859.8,mattaponi
1674500,2013,4,529.1,mattaponi
1674500,2013,5,624.7,mattaponi
1674500,2013,6,586.8,mattaponi
1674500,2013,7,238.4,mattaponi
1674500,2013,8,207.9,mattaponi
1674500,2013,9,82.7,mattaponi
1674500,2013,10,115.4,mattaponi
1674500,2013,11,195.3,mattaponi
1674500,2013,12,815.3,mattaponi
1674500,2014,1,919.5,mattaponi
1674500,2014,2,1074,mattaponi
1674500,2014,3,708.5,mattaponi
1674500,2014,4,1022,mattaponi
1674500,2014,5,1596,mattaponi
1674500,2014,6,318.4,mattaponi
1674500,2014,7,128.4,mattaponi
1674500,2014,8,95.2,mattaponi
1674500,2014,9,76,mattaponi
1674500,2014,10,88.5,mattaponi
1674500,2014,11,118.5,mattaponi
1674500,2014,12,250.9,mattaponi
1674500,2015,1,362.3,mattaponi
1674500,2015,2,380.2,mattaponi
1674500,2015,3,774.5,mattaponi
1674500,2015,4,647.1,mattaponi
1674500,2015,5,307.3,mattaponi
1674500,2015,6,435.7,mattaponi
1674500,2015,7,284.2,mattaponi
1674500,2015,8,122.5,mattaponi
1674500,2015,9,59.9,mattaponi
1674500,2015,10,352.5,mattaponi
1674500,2015,11,339.1,mattaponi
1674500,2015,12,687.7,mattaponi
1674500,2016,1,634.3,mattaponi
1674500,2016,2,1300,mattaponi
1674500,2016,3,671.4,mattaponi
1674500,2016,4,394.4,mattaponi
1674500,2016,5,1454,mattaponi
1674500,2016,6,653,mattaponi
1674500,2016,7,535.6,mattaponi
1674500,2016,8,321,mattaponi
1674500,2016,9,227.6,mattaponi
1674500,2016,10,780.9,mattaponi
1674500,2016,11,258.2,mattaponi
1674500,2016,12,418.8,mattaponi
1674500,2017,1,687.9,mattaponi
1674500,2017,2,357.9,mattaponi
1674500,2017,3,409.9,mattaponi
1674500,2017,4,527.2,mattaponi
1674500,2017,5,611.4,mattaponi
1674500,2017,6,241.7,mattaponi
1674500,2017,7,109.3,mattaponi
1674500,2017,8,145.9,mattaponi
1674500,2017,9,114.3,mattaponi
1674500,2017,10,120.4,mattaponi
1674500,2017,11,178.9,mattaponi
1674500,2017,12,145,mattaponi
1674500,2018,1,215,mattaponi
1674500,2018,2,1019,mattaponi
1674500,2018,3,484.4,mattaponi
1674500,2018,4,644.1,mattaponi
1674500,2018,5,1466,mattaponi
1674500,2018,6,2189,mattaponi
1674500,2018,7,683.9,mattaponi
1674500,2018,8,479.8,mattaponi
1674500,2018,9,645.9,mattaponi
1674500,2018,10,1213,mattaponi
1674500,2018,11,1882,mattaponi
1674500,2018,12,1333,mattaponi
1674500,2019,1,1328,mattaponi
1674500,2019,2,1531,mattaponi
1674500,2019,3,1645,mattaponi
1674500,2019,4,903.4,mattaponi
1674500,2019,5,593.3,mattaponi
1674500,2019,6,694.6,mattaponi
1674500,2019,7,202.1,mattaponi
1674500,2019,8,172.2,mattaponi
1674500,2019,9,49.8,mattaponi
1674500,2019,10,154.6,mattaponi
1674500,2019,11,213.5,mattaponi
1674500,2019,12,317.6,mattaponi
1674500,2020,1,447.2,mattaponi
