SpCluster,Station,Year,dens.percomp.change,dens.weight.mean,dens.weight.mean.y1,dens.percomp,dens.percomp.y1,SAVArea.percomp.change,SAVArea,denscomp.max,SAV_HA.max
Ruppia,EE2.1,1995,-0.04838577886618001,682.7177309814999,856.080498838,0.19054742588463144,0.23893320475081145,-0.007631575235305055,1369.23031901,3582.9281230745,4855.904136090001
Ruppia,EE2.1,1996,0.19899235531389844,1395.6930371125002,682.7177309814999,0.3895397811985299,0.19054742588463144,0.1786556582392797,2236.76506879,3582.9281230745,4855.904136090001
Ruppia,EE2.1,1997,0.13187904126082156,1868.20616289,1395.6930371125002,0.5214188224593514,0.3895397811985299,0.0913381368988746,2680.29430554,3582.9281230745,4855.904136090001
Ruppia,EE2.1,1998,-0.11152494306740846,1468.6203079494999,1868.20616289,0.409893879391943,0.5214188224593514,-0.10372189671675697,2176.6307182699998,3582.9281230745,4855.904136090001
Ruppia,EE2.1,1999,-0.21105422213566863,712.428199966,1468.6203079494999,0.19883965725627437,0.409893879391943,-0.15326862965406068,1432.3729456,3582.9281230745,4855.904136090001
Ruppia,EE2.1,2000,-0.12874578876220133,251.1412926825,712.428199966,0.07009386849407305,0.19883965725627437,-0.17838359331934417,566.15931699,3582.9281230745,4855.904136090001
Ruppia,EE2.1,2001,0.2444406354795829,1126.9545199645,251.1412926825,0.31453450397365595,0.07009386849407305,0.3023165050828325,2034.17928443,3582.9281230745,4855.904136090001
Ruppia,EE2.1,2002,0.09146472951606177,1454.666071617,1126.9545199645,0.4059992334897177,0.31453450397365595,0.10061321682997593,2522.74742018,3582.9281230745,4855.904136090001
Ruppia,EE2.1,2003,-0.29044365341985456,414.0273376105,1454.666071617,0.11555558006986319,0.4059992334897177,-0.28701299999555197,1129.03980639,3582.9281230745,4855.904136090001
Ruppia,EE2.1,2004,0.09794981847385018,764.9744968705,414.0273376105,0.21350539854371337,0.11555558006986319,0.08089422375959349,1521.85440213,3582.9281230745,4855.904136090001
Ruppia,EE2.1,2005,-0.06388185833353957,536.090390093,764.9744968705,0.1496235402101738,0.21350539854371337,-0.12374590749928732,920.9561380800001,3582.9281230745,4855.904136090001
Ruppia,EE2.1,2006,-0.09185949079117389,206.964437166,536.090390093,0.05776404941899991,0.1496235402101738,-0.10276647523396475,421.93198594,3582.9281230745,4855.904136090001
Ruppia,EE2.1,2007,0.014729419813120433,259.73888965099997,206.964437166,0.07249346923212034,0.05776404941899991,0.014453304755005392,492.11584827999997,3582.9281230745,4855.904136090001
Ruppia,EE2.1,2008,-0.04830095075797911,86.680054809,259.73888965099997,0.02419251847414123,0.07249346923212034,-0.06521037499619431,175.46051862,3582.9281230745,4855.904136090001
Ruppia,EE2.1,2009,0.004053309856949655,101.202772687,86.680054809,0.028245828331090884,0.02419251847414123,0.016514050716942265,255.6511658,3582.9281230745,4855.904136090001
Ruppia,EE2.1,2010,-0.008838948948778982,69.53345392,101.202772687,0.019406879382311903,0.028245828331090884,-0.02163852054225407,150.5765844,3582.9281230745,4855.904136090001
Ruppia,EE2.1,2011,0.14320823777598038,582.6382765035,69.53345392,0.16261511715829227,0.019406879382311903,0.1999481822908879,1121.50578979,3582.9281230745,4855.904136090001
Ruppia,EE2.1,2012,-0.11461229644194608,171.9906563315,582.6382765035,0.04800282071634619,0.16261511715829227,-0.17104567820994682,290.92437351,3582.9281230745,4855.904136090001
Ruppia,EE2.1,2013,0.03693838393468328,304.338230952,171.9906563315,0.08494120465102947,0.04800282071634619,0.03953241481092576,482.8899901,3582.9281230745,4855.904136090001
Ruppia,EE2.1,2014,0.20140845149379374,1025.970236034,304.338230952,0.2863496561448232,0.08494120465102947,0.1916176298919329,1413.36683164,3582.9281230745,4855.904136090001
Ruppia,EE2.1,2015,0.16615446449025,1621.2897396305,1025.970236034,0.4525041206350732,0.2863496561448232,0.19341290419836088,2352.56135311,3582.9281230745,4855.904136090001
Ruppia,EE2.1,2016,0.009498830141559111,1655.323365281,1621.2897396305,0.46200295077663234,0.4525041206350732,0.08527144062679365,2766.63129434,3582.9281230745,4855.904136090001
Ruppia,EE2.1,2017,0.19269204721348643,2345.7251203349997,1655.323365281,0.6546949979901188,0.46200295077663234,0.11081257304088321,3304.7265261,3582.9281230745,4855.904136090001
Ruppia,EE2.1,2018,-0.22932222514568573,1524.0800706145,2345.7251203349997,0.42537277284443303,0.6546949979901188,-0.2354650608672576,2161.33076313,3582.9281230745,4855.904136090001
